Date,NO2,CO,PM25,Temp,Pressure,Humidity,O3
2020-11-17,0.13,5.32,0.37,31.67,947.97,54.47,16.22
2020-11-21,0.12,5.3,0.0,31.09,947.77,59.65,17.66
2020-11-23,0.15,4.29,0.06,30.49,943.41,46.59,13.29
2020-11-24,0.14,4.45,0.0,29.98,943.02,48.65,13.69
2020-11-25,0.14,4.14,0.14,29.89,942.11,35.57,7.82
2020-11-26,0.12,4.85,0.13,29.24,942.72,36.31,9.97
2020-11-27,0.13,4.52,0.13,29.97,944.46,37.33,5.7
2020-11-28,0.13,4.39,0.14,29.45,944.56,43.6,5.23
2020-11-29,0.14,4.22,0.14,28.99,944.81,50.74,6.67
2020-11-30,0.14,4.12,0.02,28.66,944.74,55.21,7.99
2020-12-01,0.16,3.7,0.03,28.96,944.84,51.87,6.17
2020-12-02,0.15,3.97,0.06,28.8,943.9,46.96,6.46
2020-12-03,0.15,3.86,0.13,28.61,943.26,37.83,5.47
2020-12-04,0.15,3.8,0.13,28.46,942.29,37.84,5.22
2020-12-05,0.2,4.02,0.13,28.25,942.84,35.94,6.72
2020-12-06,0.29,4.44,0.13,28.68,943.89,31.38,8.26
2020-12-07,0.3,4.19,0.14,28.24,945.23,34.24,7.64
2020-12-08,0.29,4.03,0.13,28.32,945.22,34.64,7.37
2020-12-09,0.15,4.21,0.15,28.42,943.83,44.95,8.0
2020-12-10,0.15,4.12,0.13,29.02,942.89,44.96,8.33
2020-12-11,0.15,4.1,0.07,28.72,943.16,49.05,7.98
2020-12-12,0.15,4.08,0.07,28.81,942.5,45.7,9.26
2020-12-13,0.16,3.82,0.01,28.08,942.22,52.02,6.78
2020-12-14,0.17,3.56,0.0,26.82,943.03,58.92,4.31
2020-12-15,0.16,3.72,0.0,27.74,944.01,51.69,4.96
2020-12-16,0.2,5.92,0.0,28.56,945.2,46.3,7.71
2020-12-17,0.18,5.64,0.01,28.18,945.24,47.39,8.81
2020-12-18,0.1,3.13,0.05,27.66,944.93,44.47,8.27
2020-12-19,0.09,3.2,0.08,27.85,945.39,42.86,8.0
2020-12-20,0.1,3.12,0.11,27.5,945.81,38.32,7.96
2020-12-21,0.09,3.51,0.13,27.3,944.58,32.27,11.77
2020-12-22,0.08,3.64,0.14,26.86,943.46,31.67,11.69
2020-12-23,0.09,3.55,0.13,26.63,942.07,33.52,10.61
2020-12-24,0.09,3.47,0.13,26.63,941.47,39.53,11.0
2020-12-25,0.09,3.34,0.14,27.1,942.5,41.53,11.62
2020-12-26,0.09,3.2,0.13,27.19,943.79,42.14,12.2
2020-12-30,0.09,3.54,0.05,28.15,941.97,39.76,10.73
2020-12-31,0.08,3.8,0.01,27.72,942.8,47.29,10.67
2021-01-01,0.08,4.22,0.0,28.23,942.9,48.95,11.05
2021-01-02,0.07,4.47,0.0,28.4,943.18,46.74,16.58
2021-01-03,0.07,4.46,0.01,28.29,941.53,43.43,21.35
2021-01-04,0.07,4.57,0.0,28.57,941.37,48.9,21.12
2021-01-05,0.07,4.21,0.0,28.36,942.18,52.27,19.14
2021-01-06,0.08,4.13,0.0,28.64,941.7,49.37,18.54
2021-01-07,0.08,3.95,0.0,29.22,940.09,55.53,16.86
2021-01-08,0.08,3.75,0.0,28.42,940.1,59.62,16.88
2021-01-09,0.08,3.71,0.0,28.52,940.75,59.27,17.31
2021-01-10,0.08,3.7,0.0,28.65,941.84,59.37,16.88
2021-01-11,0.08,3.67,0.0,29.58,943.4,47.9,10.47
2021-01-12,0.15,4.0,0.03,29.65,942.99,38.74,10.46
2021-01-13,0.15,4.11,0.03,29.58,942.88,40.6,11.12
2021-01-14,0.55,3.99,0.1,29.26,941.97,39.72,10.19
2021-01-15,0.38,3.92,0.01,28.67,941.41,44.83,8.97
2021-01-16,0.17,3.7,0.0,28.9,940.8,45.72,7.83
2021-01-17,0.18,3.63,0.0,28.92,942.56,49.12,7.78
2021-01-18,0.17,3.69,0.0,29.23,942.67,47.15,8.37
2021-01-19,0.17,3.79,0.0,29.27,942.61,47.05,8.57
2021-01-20,0.17,3.8,0.0,29.2,943.3,47.15,8.51
2021-01-21,0.17,3.85,0.0,28.05,944.18,41.64,9.94
2021-01-22,0.22,3.44,0.03,29.38,941.84,36.89,17.99
2021-01-23,0.21,3.62,0.0,29.17,942.4,40.48,21.18
2021-01-24,0.22,3.47,0.0,25.12,949.1,41.17,20.91
2021-01-25,0.13,2.93,0.0,28.66,943.44,42.17,10.98
2021-01-26,0.14,2.85,0.01,28.62,943.15,39.71,11.41
2021-01-27,0.42,9.04,0.15,28.61,942.03,31.8,12.38
2021-01-28,0.38,9.1,0.19,28.61,942.75,36.04,14.88
2021-01-29,0.41,8.38,0.08,27.97,944.3,36.74,14.11
2021-01-30,0.48,7.05,0.02,27.4,944.25,40.05,9.23
2021-01-31,0.53,6.13,0.02,26.2,943.49,42.39,7.82
2021-02-01,0.12,4.44,0.0,27.37,946.22,40.13,14.06
2021-02-02,0.11,4.81,0.0,27.71,947.23,35.71,16.86
2021-02-03,0.13,4.28,0.05,28.23,944.49,25.56,15.94
2021-02-04,0.13,4.21,0.06,27.71,944.28,30.76,16.25
2021-02-05,0.13,4.11,0.04,27.56,944.57,37.31,16.23
2021-02-06,0.15,3.57,0.06,27.12,943.39,31.33,9.34
2021-02-07,0.14,3.65,0.0,-3.16,990.0,45.34,11.13
2021-02-11,0.19,3.4,0.12,28.24,941.76,24.32,9.44
2021-02-12,0.2,3.22,0.15,27.83,942.47,33.21,12.69
2021-02-13,0.21,3.03,0.11,28.18,943.33,37.65,11.46
2021-02-14,0.16,3.42,0.01,28.35,943.5,43.33,11.32
2021-02-15,0.07,4.45,0.0,28.25,943.04,50.46,13.27
2021-02-16,0.06,5.11,0.0,,,,17.89
2021-02-17,0.07,4.34,0.0,,,,12.24
2021-02-18,0.08,3.88,0.0,,,,11.26
2021-02-19,0.08,3.61,0.0,,,,10.88
2021-02-20,0.09,3.29,0.0,,,,9.64
2021-02-21,0.11,2.75,0.0,,,,7.08
2021-02-22,0.16,4.7,0.0,29.52,944.03,37.48,13.19
2021-02-23,0.2,6.3,0.0,29.55,943.43,39.3,34.4
2021-02-24,0.23,5.56,0.0,29.62,942.33,37.36,26.05
2021-02-25,0.28,4.77,0.0,29.26,942.9,39.5,15.45
2021-02-26,0.36,5.02,0.01,30.2,941.66,34.39,20.31
2021-02-27,0.37,4.8,0.05,30.38,940.63,31.16,16.72
2021-02-28,0.37,4.84,0.07,30.5,940.82,31.99,13.35
2021-03-01,0.17,6.7,0.11,31.19,943.13,29.18,11.47
2021-03-02,0.16,5.57,0.08,30.9,944.05,27.52,10.28
2021-03-03,0.1,2.06,0.02,31.95,942.86,21.35,14.83
2021-03-04,0.15,1.08,0.01,32.9,942.49,20.35,8.28
2021-03-05,0.13,1.26,0.04,32.13,943.23,22.96,9.87
2021-03-06,0.12,1.34,0.1,31.61,943.79,27.73,10.25
2021-03-08,0.1,5.5,0.16,32.22,942.8,25.88,12.72
2021-03-09,0.1,5.57,0.16,32.08,942.74,24.77,14.98
2021-03-10,0.1,5.79,0.16,32.45,942.67,27.24,16.25
2021-03-11,0.1,5.86,0.15,32.38,942.18,27.06,16.28
2021-03-12,0.11,5.34,0.16,32.05,943.4,26.22,11.84
2021-03-13,0.11,5.27,0.16,30.89,944.87,28.96,11.17
2021-03-15,0.17,4.27,0.04,32.47,941.22,26.67,11.23
2021-03-16,0.17,4.31,0.08,32.27,941.36,26.16,11.52
2021-03-17,0.16,4.33,0.14,32.37,940.41,25.81,11.65
2021-03-18,0.16,4.4,0.15,32.49,940.3,26.34,11.75
2021-03-19,0.16,4.41,0.15,32.47,940.81,25.87,11.8
2021-03-20,0.16,4.49,0.11,32.23,939.45,27.69,12.08
2021-03-21,0.16,3.51,0.06,31.15,939.6,33.24,8.84
2021-03-22,0.13,2.47,0.01,30.83,941.63,35.62,6.08
2021-03-23,0.13,2.46,0.0,30.3,942.66,39.11,6.23
2021-03-24,0.13,2.31,0.0,31.11,942.62,34.95,4.61
2021-03-25,0.13,2.27,0.0,31.8,941.77,30.23,4.72
2021-03-26,0.14,2.19,0.06,32.14,941.1,24.75,4.67
2021-03-27,0.15,2.0,0.11,31.2,940.37,24.73,3.96
2021-03-28,0.16,2.62,0.16,31.69,940.65,25.61,4.64
2021-04-08,0.16,4.75,0.0,33.22,939.86,34.4,9.82
2021-04-09,0.15,4.46,0.0,33.88,939.14,31.42,9.01
2021-04-10,0.15,4.19,0.0,34.42,940.36,32.74,9.93
2021-04-11,0.15,4.19,0.0,33.37,941.71,37.67,10.19
2021-04-12,0.16,3.83,0.0,32.84,942.39,36.7,8.32
2021-04-24,0.12,4.78,0.0,31.65,941.36,49.96,20.28
2021-04-25,0.12,4.71,0.05,32.94,939.69,34.21,19.34
2021-04-26,0.13,4.46,0.05,32.07,939.56,45.49,15.26
2021-04-27,0.14,4.32,0.0,29.07,946.54,38.69,18.22
2021-04-28,0.13,4.68,0.0,32.55,941.23,37.12,20.89
